,question,Summary,answer
305,Set cellpadding and cellspacing in CSS?,"In an HTML table, the cellpadding and cellspacing can be set like this: <table cellspacing=""1"" cellpadding=""1""> How can the same be accomplished using CSS?","Just a general suggestion, check to see if your style.css does a ""reset"" on your tables before trying these solutions. Example: If you don't have tables set to width:auto then border-collapse might not work as expected."
306,How can I change an element's class with JavaScript?,How can I change the class of an HTML element in response to an onclick or any other events using JavaScript?,"""The class attribute is mostly used to point to a class in a style sheet. However, it can also be used by a JavaScript (via the HTML DOM) to make changes to HTML elements with a specified class."" -w3schools.com/tags/att_standard_class.asp"
307,How do you disable browser autocomplete on web form field / input tags?,How do you disable autocomplete in the major browsers for a specific input (or form field)?,In some systems where testers have to manually enter a lot of information over and over it might be useful to have the option as configurable so that when testing you can disable it and just hit 'tab > down arrow > tab > down arrow etc...'
308,How do I disable the resizable property of a textarea?,"I want to disable the resizable property of a textarea. Currently, I can resize a textarea by clicking on the bottom right corner of the textarea and dragging the mouse. How can I disable this?","@JDIsaaks - further, allowing resize in certain situations can break layout and printabilit (an important aspect of a current mission-critical project)."
309,Is it possible to apply CSS to half of a character?,"What I am looking for: A way to style one HALF of a character. (In this case, half the letter being transparent) What I have currently searched for and tried (With no luck): Methods for styling ...",Comments are not for extended discussion; this conversation has been moved to chat.
310,How can I know which radio button is selected via jQuery?,"I have two radio buttons and want to post the value of the selected one. How can I get the value with jQuery? I can get all of them like this: $(""form :radio"") How do I know which one is selected?","Just going to add this because it might help someone. If the name of the radio has brackets like radioName[0] (sometimes used in Wordpress), you will want to use quotes around the name like input[name='radioName[0]']:checked"
311,How to store objects in HTML5 localStorage,"I'd like to store a JavaScript object in HTML5 localStorage, but my object is apparently being converted to a string. I can store and retrieve primitive JavaScript types and arrays using localStorage, ...","BTW, your reading of ""structured clone algorithm"" is correct, it's just that the spec was changed from string-only values to this after the implementations were out. I filed bug bugzilla.mozilla.org/show_bug.cgi?id=538142 with mozilla to track this issue."
312,How do I modify the URL without reloading the page?,Is there a way I can modify the URL of the current page without reloading the page? I would like to access the portion before the # hash if possible. I only need to change the portion after the ...,"Just to make it easier to understand the question, this is what Facebook does when you open a photo, for example. The url bar changes to point DIRECTLY to that photo, so you can share the URL without losing where you are in the site. Remember sites based on framing last decade? You could only get the homepage url, because only internal frames were changing. And that was terrible."
313,I need an unordered list without any bullets,"I have created an unordered list. I feel the bullets in the unordered list are bothersome, so I want to remove them. Is it possible to have a list without bullets?","@tovmeod Seems to work fine in my IE9 (on Win7). (it is a complex page, not a simple POC, maybe something else changed the behavior)"
314,How do I vertically center text with CSS? [duplicate],I have a <div> element which contains text and I want to align the contents of this <div> vertically center. Here is my <div> style: #box { height: 170px; width: 270px; ...,#box{line-height: -moz-block-height;}
315,How to make a div 100% height of the browser window,"I have a layout with two columns - a left div and a right div. The right div has a grey background-color, and I need it to expand vertically depending on the height of the user's browser window. ...",May you'll find this question usefull stackoverflow.com/questions/1366548/…
